Table 1
MicroLab Parts List							
							
NOTE 1: We link to places that have the parts that we used. They aren't picked for best price or universal availability							
"NOTE 2: Saving money - check the price of a part in multiples, it may be cheaper than buying just one"							
							
Section	Part ID	Count	Name	Primary Link	Secondary Link	Description / Notes	
							
							
CONTROL UNIT (CU)							
Control Unit (CU)	CU-RPI	1	Raspberry Pi 3 Model B Board	Amazon link	Amazon Le Potato link2	"Primary link is to a Raspberry 3b+'s which is the most extensively tested. 

Second link is for devlopers, we have experimental support for Le Potato by Libre Computer (link2) although as of v0.6 we do not yet have a production image with display drivers installed."	
Control Unit (CU)	CU-SCR	1	Touchscreen for Raspberry Pi	Amazon link		Touchscreen for Raspberry Pi (CU-RPI). 	
Control Unit (CU)	CU-SD32	1	"Micro SD card, 32GB"	Amazon link		"32GB is the minimum. If you make a new image on a larger card, you can use Pi Shrink to remove empty space from the disk image. If you shrink to the minimum, you may need to re-expand or your partition will run out of space."	
Control Unit (CU)	CU-UPC	1	" Micro USB Cable, right angle"	Amazon Link		"Power cable for Raspberry Pi (CU-RPI). The right angle (90 degree) connector will fit better in the Control Unit case. You will need a cable that fits your Pi, we linked to a Micro USB (although newer board usually use USB C). "	
Control Unit (CU)	CU-UNO	1	Arduino UNO	"Ali Express link (kit)
- be sure to pick option with UNO board"	Amazon link	"Links to kit will include Uno, CNC shield, motor drivers modules andle USB A/B cable."	
Control Unit (CU)	CU-CNC	1	Arduino CNC shield		Amazon Link (Kit)		
Control Unit (CU)	CU-SMD	3	Stepper Motor Drivers [For CU-CNC]		Amazon Link	Link 1 includes UNO and 4988 but 4988KIR may be of lesser quality	
Control Unit (CU)	CU-A2B	1	USB A/B cable for Raspberry Pi to Arduino				
Control Unit (CU)	CU-RLY	1	4-Channel Relay Board	Amazon link			
Control Unit (CU)	CU-WCL	1	"Wire Connector (lever), 2-in-6-out"	Ali Express link	Amazon link - assortment	"Called the 12V Wire Connector. The 2-in-6-out wire connector is used for 12V wiring. The 65-pack in the second link is enough to make multiple MicroLabs, smaller packs are avaiable but will be a higher cost per connector.  "	
Control Unit (CU)	CU-JMP	5	"Breadboard Jumper Wires, male-female"	Amazon link		Small wires to connect the pins on the Pi to other components.  	
Control Unit (CU)	CU-RLY	1	"4 Channel Relay Board, 5V"	Amazon link			
Control Unit (CU)	CU-POW	1	"Power Supply, 12V 5A"	Amazon link		"This a 12v 5A power brick. If you’ve got one from an old laptop with a 5.5 x 2.1 mm plug, it may work just fine. Powers the MicroLab. "	
Control Unit (CU)	CU-CBC	1	Control Case (Printed)	MicroLab link	Github Link	The MicroLab index page goes into more detail about the 3D printed parts. 	
Control Unit (CU)	CU-CBL	1	Control Lid (Printed)	MicroLab link	Github Link	The MicroLab index page goes into more detail about the 3D printed parts. 	
Control Unit (CU)	CU-CCP	1	Converter case (Printed)	MicroLab link	Github Link	The MicroLab index page goes into more detail about the 3D printed parts. 	
Control Unit (CU)	CU-RCP	1	Relay case (Printed)	MicroLab link	Github Link	The MicroLab index page goes into more detail about the 3D printed parts. 	
Control Unit (CU)	CU-PLG	2	"Barrel plug connectors, 5.5mm x 2.1mm"	Amazon link		"Connector with wires, 1 female and 1 male."	
